,actor,author,ranks,title
0,Alan Rudolph’s Top10,Ingmar Bergman,1,Wild Strawberries
1,Alan Rudolph’s Top10,Federico Fellini,2,La dolce vita
2,Alan Rudolph’s Top10,Stanley Kubrick,3,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb"
3,Alan Rudolph’s Top10,Marcel Carné,4,Children of Paradise
4,Alan Rudolph’s Top10,Luis Buñuel,5,The Discreet Charm of the Bourgeoisie
5,Alan Rudolph’s Top10,Akira Kurosawa,6,Rashomon
6,Alan Rudolph’s Top10,Jacques Tati,7,Monsieur Hulot’s Holiday
7,Alan Rudolph’s Top10,Robert Altman,8,McCabe & Mrs. Miller
8,Alan Rudolph’s Top10,François Truffaut,9,Day for Night
9,Alan Rudolph’s Top10,Víctor Erice,10,The Spirit of the Beehive
0,David and Nathan Zellner’s Top10,Carl Th. Dreyer,1,The Passion of Joan of Arc
1,David and Nathan Zellner’s Top10,Terry Gilliam,1,Time Bandits
2,David and Nathan Zellner’s Top10,Martin Rosen,2,Watership Down
3,David and Nathan Zellner’s Top10,John Lurie,2,Fishing with John
4,David and Nathan Zellner’s Top10,Paul Verhoeven,3,RoboCop
5,David and Nathan Zellner’s Top10,Akira Kurosawa,3,Throne of Blood
6,David and Nathan Zellner’s Top10,Kaneto Shindo,4,Onibaba
7,David and Nathan Zellner’s Top10,Monte Hellman,4,Two-Lane Blacktop
8,David and Nathan Zellner’s Top10,Chantal Akerman,5,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles"
9,David and Nathan Zellner’s Top10,Jack Nicholson,5,"Drive, He Said"
10,David and Nathan Zellner’s Top10,Mike Leigh,6,Life Is Sweet
11,David and Nathan Zellner’s Top10,Samuel Fuller,6,Shock Corridor
12,David and Nathan Zellner’s Top10,Satyajit Ray,7,Pather Panchali
13,David and Nathan Zellner’s Top10,Robert Altman,7,Nashville
14,David and Nathan Zellner’s Top10,Les Blank,8,Burden of Dreams
15,David and Nathan Zellner’s Top10,Bob Fosse,8,All That Jazz
16,David and Nathan Zellner’s Top10,Pier Paolo Pasolini,9,"Salò, or The 120 Days of Sodom"
17,David and Nathan Zellner’s Top10,Carroll Ballard,9,The Black Stallion
18,David and Nathan Zellner’s Top10,Ken Loach,10,Kes
19,David and Nathan Zellner’s Top10,Jim Jarmusch,10,Dead Man
0,Ari Aster’s Top10,Ingmar Bergman,1,Persona
1,Ari Aster’s Top10,Ingmar Bergman,1,Cries and Whispers
2,Ari Aster’s Top10,Ingmar Bergman,1,Fanny and Alexander — The Theatrical Version
3,Ari Aster’s Top10,Kenji Mizoguchi,2,Ugetsu
4,Ari Aster’s Top10,Kenji Mizoguchi,2,Sansho the Bailiff
5,Ari Aster’s Top10,Kenji Mizoguchi,2,The Life of Oharu
6,Ari Aster’s Top10,Martin Scorsese,3,The Age of Innocence
7,Ari Aster’s Top10,Andrew Haigh,3,45 Years
8,Ari Aster’s Top10,Federico Fellini,4,8½
9,Ari Aster’s Top10,Mike Leigh,5,Topsy-Turvy
10,Ari Aster’s Top10,Mike Leigh,5,Naked
11,Ari Aster’s Top10,Michael Powell and Emeric Pressburger,6,The Red Shoes
12,Ari Aster’s Top10,Michael Powell and Emeric Pressburger,6,The Life and Death of Colonel Blimp
13,Ari Aster’s Top10,Michael Powell and Emeric Pressburger,6,A Matter of Life and Death
14,Ari Aster’s Top10,Michael Powell and Emeric Pressburger,6,Black Narcissus
15,Ari Aster’s Top10,Michael Powell and Emeric Pressburger,6,I Know Where I’m Going!
16,Ari Aster’s Top10,Edward Yang,7,Yi Yi
17,Ari Aster’s Top10,Edward Yang,7,A Brighter Summer Day
18,Ari Aster’s Top10,Michael Haneke,8,The Piano Teacher
19,Ari Aster’s Top10,Roman Polanski,9,Cul-de-sac
20,Ari Aster’s Top10,Roman Polanski,9,Repulsion
21,Ari Aster’s Top10,Roman Polanski,9,Rosemary’s Baby
22,Ari Aster’s Top10,Roman Polanski,9,Macbeth
23,Ari Aster’s Top10,Satyajit Ray,10,Pather Panchali
24,Ari Aster’s Top10,Satyajit Ray,10,Aparajito
25,Ari Aster’s Top10,Satyajit Ray,10,Apur Sansar
0,Sloane Crosley’s Top10,Stanley Kubrick,1,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb"
1,Sloane Crosley’s Top10,Ingmar Bergman,2,Fanny and Alexander — The Theatrical Version
2,Sloane Crosley’s Top10,Michael Powell and Emeric Pressburger,3,The Red Shoes
3,Sloane Crosley’s Top10,Spike Lee,4,Do the Right Thing
4,Sloane Crosley’s Top10,James L. Brooks,5,Broadcast News
5,Sloane Crosley’s Top10,Sydney Pollack,5,Tootsie
6,Sloane Crosley’s Top10,Alexander Mackendrick,5,Sweet Smell of Success
7,Sloane Crosley’s Top10,Richard Linklater,6,Dazed and Confused
8,Sloane Crosley’s Top10,Whit Stillman,6,Metropolitan
9,Sloane Crosley’s Top10,Whit Stillman,6,Barcelona
10,Sloane Crosley’s Top10,Noah Baumbach,6,Kicking and Screaming
11,Sloane Crosley’s Top10,Hal Ashby,7,Harold and Maude
12,Sloane Crosley’s Top10,John Cassavetes,8,A Woman Under the Influence
13,Sloane Crosley’s Top10,Terrence Malick,9,Days of Heaven
14,Sloane Crosley’s Top10,Rob Reiner,10,This Is Spinal Tap
0,Sebastián Lelio’s Top10,John Cassavetes,1,A Woman Under the Influence
1,Sebastián Lelio’s Top10,Louis Malle,2,Elevator to the Gallows
2,Sebastián Lelio’s Top10,Wim Wenders,3,"Paris, Texas"
3,Sebastián Lelio’s Top10,Federico Fellini,4,8½
4,Sebastián Lelio’s Top10,Michelangelo Antonioni,5,La notte
5,Sebastián Lelio’s Top10,Carlos Saura,6,Cría cuervos . . . 
6,Sebastián Lelio’s Top10,François Truffaut,7,Day for Night
7,Sebastián Lelio’s Top10,Ingmar Bergman,8,Persona
8,Sebastián Lelio’s Top10,Lars von Trier,9,Breaking the Waves
9,Sebastián Lelio’s Top10,Andrei Tarkovsky,10,Solaris
0,Barry Levinson’s Top10,Federico Fellini,1,Amarcord
1,Barry Levinson’s Top10,David Lean,2,Oliver Twist
2,Barry Levinson’s Top10,Carol Reed,3,The Third Man
3,Barry Levinson’s Top10,Stanley Kubrick,4,Spartacus
4,Barry Levinson’s Top10,"Albert Maysles, David Maysles, and Charlotte Zwerin",5,Salesman
5,Barry Levinson’s Top10,Federico Fellini,6,I vitelloni
6,Barry Levinson’s Top10,John Cassavetes,7,Shadows
7,Barry Levinson’s Top10,John Cassavetes,7,Faces
8,Barry Levinson’s Top10,John Cassavetes,7,A Woman Under the Influence
9,Barry Levinson’s Top10,John Cassavetes,7,The Killing of a Chinese Bookie
10,Barry Levinson’s Top10,John Cassavetes,7,Opening Night
11,Barry Levinson’s Top10,Billy Wilder,8,Ace in the Hole
12,Barry Levinson’s Top10,Jean-Luc Godard,9,Breathless
13,Barry Levinson’s Top10,Alexander Mackendrick,10,Sweet Smell of Success
0,Jessica Morgan’s Top10,James Ivory,1,A Room with a View
1,Jessica Morgan’s Top10,James L. Brooks,2,Broadcast News
2,Jessica Morgan’s Top10,Wes Anderson,3,The Royal Tenenbaums
3,Jessica Morgan’s Top10,Spike Jonze,4,Being John Malkovich
4,Jessica Morgan’s Top10,Steve James,5,Hoop Dreams
5,Jessica Morgan’s Top10,Jonathan Demme,6,The Silence of the Lambs
6,Jessica Morgan’s Top10,Whit Stillman,7,Metropolitan
7,Jessica Morgan’s Top10,John Hughes,8,The Breakfast Club
8,Jessica Morgan’s Top10,Ang Lee,9,The Ice Storm
9,Jessica Morgan’s Top10,Alexander Payne,10,Election
0,Ruben Östlund’s Top10,Volker Schlöndorff,1,The Tin Drum
1,Ruben Östlund’s Top10,Paolo Sorrentino,2,The Great Beauty
2,Ruben Östlund’s Top10,Catherine Breillat,3,Fat Girl
3,Ruben Östlund’s Top10,Luis Buñuel,4,The Discreet Charm of the Bourgeoisie
4,Ruben Östlund’s Top10,Jacques Tati,5,PlayTime
5,Ruben Östlund’s Top10,Rainer Werner Fassbinder,6,The Bitter Tears of Petra von Kant
6,Ruben Östlund’s Top10,Vittorio De Sica,7,Bicycle Thieves
7,Ruben Östlund’s Top10,Stanley Kubrick,8,Barry Lyndon
8,Ruben Östlund’s Top10,Lars von Trier,9,Antichrist
9,Ruben Östlund’s Top10,Michael Haneke,10,Code Unknown
0,Tracy Letts’s Top10,Edward Cline,1,The Bank Dick
1,Tracy Letts’s Top10,Ingmar Bergman,2,Cries and Whispers
2,Tracy Letts’s Top10,Federico Fellini,3,La dolce vita
3,Tracy Letts’s Top10,Peter Yates,4,The Friends of Eddie Coyle
4,Tracy Letts’s Top10,Charles Chaplin,5,The Gold Rush
5,Tracy Letts’s Top10,Peter Bogdanovich,6,The Last Picture Show
6,Tracy Letts’s Top10,Nagisa Oshima,7,Merry Christmas Mr. Lawrence
7,Tracy Letts’s Top10,Michelangelo Antonioni,8,La notte
8,Tracy Letts’s Top10,Howard Hawks,9,Red River
9,Tracy Letts’s Top10,Roman Polanski,10,Rosemary’s Baby
0,Jonas Carpignano’s Top10,Luchino Visconti,1,The Leopard
1,Jonas Carpignano’s Top10,Roberto Rossellini,2,Paisan
2,Jonas Carpignano’s Top10,Robert Altman,3,Nashville
3,Jonas Carpignano’s Top10,John Cassavetes,4,Faces
4,Jonas Carpignano’s Top10,Jean-Pierre Melville,5,Army of Shadows
5,Jonas Carpignano’s Top10,Gillo Pontecorvo,5,The Battle of Algiers 
6,Jonas Carpignano’s Top10,Federico Fellini,6,La strada
7,Jonas Carpignano’s Top10,Abdellatif Kechiche,7,The Secret of the Grain
8,Jonas Carpignano’s Top10,Andrea Arnold,7,Fish Tank
9,Jonas Carpignano’s Top10,Pier Paolo Pasolini,8,Mamma Roma
10,Jonas Carpignano’s Top10,Francesco Rosi,9,Salvatore Giuliano
11,Jonas Carpignano’s Top10,Spike Lee,10,Do the Right Thing
0,Stephen Cone’s Top10,John Cassavetes,1,Shadows
1,Stephen Cone’s Top10,John Cassavetes,1,Faces
2,Stephen Cone’s Top10,John Cassavetes,1,A Woman Under the Influence
3,Stephen Cone’s Top10,John Cassavetes,1,The Killing of a Chinese Bookie
4,Stephen Cone’s Top10,John Cassavetes,1,Opening Night
5,Stephen Cone’s Top10,John Cassavetes,1,Love Streams
6,Stephen Cone’s Top10,Terence Davies,2,The Long Day Closes
7,Stephen Cone’s Top10,Claude Lanzmann,3,Shoah
8,Stephen Cone’s Top10,David Lynch,4,Mulholland Dr.
9,Stephen Cone’s Top10,Jean Renoir,5,French Cancan
10,Stephen Cone’s Top10,James L. Brooks,6,Broadcast News
11,Stephen Cone’s Top10,Terrence Malick,7,Days of Heaven
12,Stephen Cone’s Top10,Terrence Malick,7,The Thin Red Line
13,Stephen Cone’s Top10,Terrence Malick,7,The New World
14,Stephen Cone’s Top10,Carl Th. Dreyer,8,Day of Wrath
15,Stephen Cone’s Top10,Carl Th. Dreyer,8,Ordet
16,Stephen Cone’s Top10,Carl Th. Dreyer,8,Gertrud
17,Stephen Cone’s Top10,David Fincher,9,The Curious Case of Benjamin Button
18,Stephen Cone’s Top10,Abbas Kiarostami,10,Close-up
19,Stephen Cone’s Top10,Arnaud Desplechin,10,A Christmas Tale
20,Stephen Cone’s Top10,Jonathan Demme,10,Something Wild
21,Stephen Cone’s Top10,John Ford,10,My Darling Clementine
22,Stephen Cone’s Top10,Chantal Akerman,10,News from Home
0,Connor Jessup’s Top10,Hirokazu Kore-eda,1,Still Walking
1,Connor Jessup’s Top10,Edward Yang,2,A Brighter Summer Day
2,Connor Jessup’s Top10,Edward Yang,2,Yi Yi
3,Connor Jessup’s Top10,Abbas Kiarostami,3,Taste of Cherry
4,Connor Jessup’s Top10,Preston Sturges,4,Sullivan’s Travels
5,Connor Jessup’s Top10,Yasujiro Ozu,5,Late Spring
6,Connor Jessup’s Top10,Yasujiro Ozu,6,There Was a Father
7,Connor Jessup’s Top10,Yasujiro Ozu,7,Good Morning
8,Connor Jessup’s Top10,Akira Kurosawa,8,High and Low
9,Connor Jessup’s Top10,Luc Dardenne and Jean-Pierre Dardenne,9,La promesse
10,Connor Jessup’s Top10,Apichatpong Weerasethakul,10,Mysterious Object at Noon
11,Connor Jessup’s Top10,Kaneto Shindo,11,The Naked Island
12,Connor Jessup’s Top10,Kirsten Johnson,12,Cameraperson
0,Christopher Radcliff and Lauren Wolkstein’s Top10,Juzo Itami,1,Tampopo
1,Christopher Radcliff and Lauren Wolkstein’s Top10,Wim Wenders,1,"Paris, Texas"
2,Christopher Radcliff and Lauren Wolkstein’s Top10,Peter Weir,2,Picnic at Hanging Rock
3,Christopher Radcliff and Lauren Wolkstein’s Top10,Krzysztof Kieślowski,2,The Double Life of Véronique
4,Christopher Radcliff and Lauren Wolkstein’s Top10,Hirokazu Kore-eda,3,Still Walking
5,Christopher Radcliff and Lauren Wolkstein’s Top10,Agnès Varda,3,Vagabond
6,Christopher Radcliff and Lauren Wolkstein’s Top10,Edward Yang,4,A Brighter Summer Day
7,Christopher Radcliff and Lauren Wolkstein’s Top10,Andrei Tarkovsky,4,Stalker
8,Christopher Radcliff and Lauren Wolkstein’s Top10,Akira Kurosawa,5,High and Low
9,Christopher Radcliff and Lauren Wolkstein’s Top10,Olivier Assayas,5,Personal Shopper
10,Christopher Radcliff and Lauren Wolkstein’s Top10,Steve James,6,Hoop Dreams
11,Christopher Radcliff and Lauren Wolkstein’s Top10,Michelangelo Antonioni,6,Red Desert
12,Christopher Radcliff and Lauren Wolkstein’s Top10,Nagisa Oshima,7,Empire of Passion
13,Christopher Radcliff and Lauren Wolkstein’s Top10,Nagisa Oshima,7,Violence at Noon
14,Christopher Radcliff and Lauren Wolkstein’s Top10,Abbas Kiarostami,7,Close-up
15,Christopher Radcliff and Lauren Wolkstein’s Top10,Jonathan Demme,8,The Silence of the Lambs
16,Christopher Radcliff and Lauren Wolkstein’s Top10,David Lynch,8,Mulholland Dr.
17,Christopher Radcliff and Lauren Wolkstein’s Top10,Catherine Breillat,9,Fat Girl
18,Christopher Radcliff and Lauren Wolkstein’s Top10,Robert Altman,9,3 Women
19,Christopher Radcliff and Lauren Wolkstein’s Top10,Robert Altman,9,McCabe & Mrs. Miller
20,Christopher Radcliff and Lauren Wolkstein’s Top10,Robert Altman,9,Nashville
21,Christopher Radcliff and Lauren Wolkstein’s Top10,Francis Ford Coppola,10,Rumble Fish
22,Christopher Radcliff and Lauren Wolkstein’s Top10,Ingmar Bergman,10,Through a Glass Darkly
23,Christopher Radcliff and Lauren Wolkstein’s Top10,Lodge Kerrigan,10,"Clean, Shaven"
0,Doug Nichol’s Top10,Michelangelo Antonioni,1,Blow-Up
1,Doug Nichol’s Top10,Mike Nichols,1,The Graduate
2,Doug Nichol’s Top10,Bob Rafelson,2,Five Easy Pieces
3,Doug Nichol’s Top10,Peter Bogdanovich,2,The Last Picture Show
4,Doug Nichol’s Top10,Akira Kurosawa,3,Ikiru
5,Doug Nichol’s Top10,Ingmar Bergman,3,Wild Strawberries
6,Doug Nichol’s Top10,Wim Wenders,4,"Paris, Texas"
7,Doug Nichol’s Top10,François Truffaut,5,The 400 Blows
8,Doug Nichol’s Top10,Albert Lamorisse,5,The Red Balloon
9,Doug Nichol’s Top10,Stanley Kramer,6,"It’s a Mad, Mad, Mad, Mad World"
10,Doug Nichol’s Top10,Federico Fellini,7,La dolce vita
11,Doug Nichol’s Top10,Vittorio De Sica,8,Bicycle Thieves
12,Doug Nichol’s Top10,Les Blank,9,Burden of Dreams
13,Doug Nichol’s Top10,Errol Morris,9,Gates of Heaven
14,Doug Nichol’s Top10,Errol Morris,9,"Vernon, Florida"
15,Doug Nichol’s Top10,Monte Hellman,10,Two-Lane Blacktop
0,Janicza Bravo’s Top10,Bob Fosse,1,All That Jazz
1,Janicza Bravo’s Top10,Rainer Werner Fassbinder,2,Ali: Fear Eats the Soul
2,Janicza Bravo’s Top10,Rainer Werner Fassbinder,2,Beware of a Holy Whore
3,Janicza Bravo’s Top10,Ousmane Sembène,3,Black Girl
4,Janicza Bravo’s Top10,Spike Lee,4,Do the Right Thing
5,Janicza Bravo’s Top10,Nicolas Roeg,5,Don't Look Now
6,Janicza Bravo’s Top10,Terry Gilliam,6,Fear and Loathing in Las Vegas
7,Janicza Bravo’s Top10,Federico Fellini,6,Juliet of the Spirits
8,Janicza Bravo’s Top10,Eric Rohmer,7,Love in the Afternoon
9,Janicza Bravo’s Top10,Eric Rohmer,7,La collectionneuse
10,Janicza Bravo’s Top10,Agnès Varda,8,Le bonheur
11,Janicza Bravo’s Top10,John Cassavetes,9,Opening Night
12,Janicza Bravo’s Top10,Robert Altman,10,3 Women
13,Janicza Bravo’s Top10,David Lynch,10,Mulholland Dr.
0,Dustin Guy Defa’s Top10,Steve James,1,Hoop Dreams
1,Dustin Guy Defa’s Top10,Abbas Kiarostami,2,Close-up
2,Dustin Guy Defa’s Top10,David Lynch,3,Mulholland Dr.
3,Dustin Guy Defa’s Top10,Stanley Kubrick,4,Barry Lyndon
4,Dustin Guy Defa’s Top10,Terry Zwigoff,5,Crumb
5,Dustin Guy Defa’s Top10,James L. Brooks,6,Broadcast News
6,Dustin Guy Defa’s Top10,Mike Leigh,7,Naked
7,Dustin Guy Defa’s Top10,Allan King,8,A Married Couple
8,Dustin Guy Defa’s Top10,Kirsten Johnson,9,Cameraperson
9,Dustin Guy Defa’s Top10,Douglas Sirk,10,All That Heaven Allows
