author,director,ranks,title
Lev Kalman’s Top10,Erle C. Kenton,4,Island of Lost Souls
Lev Kalman’s Top10,Preston Sturges,5,Unfaithfully Yours
Lev Kalman’s Top10,Jean Painlevé,6,Science Is Fiction: 23 Films by Jean Painlevé
Lev Kalman’s Top10,Wim Wenders,7,The American Friend
Lev Kalman’s Top10,David Lynch,8,Twin Peaks: Fire Walk with Me
Lev Kalman’s Top10,Whit Stillman,9,Barcelona
Lev Kalman’s Top10,Eric Rohmer,10,Suzanne’s Career
Christophe Honoré’s Top10,Jean-Luc Godard,1,Contempt
Christophe Honoré’s Top10,Orson Welles,2,The Magnificent Ambersons
Christophe Honoré’s Top10,Wong Kar-wai,3,Chungking Express
Christophe Honoré’s Top10,Jacques Demy,4,Lola
Christophe Honoré’s Top10,François Truffaut,5,Jules and Jim
Christophe Honoré’s Top10,Pier Paolo Pasolini,6,"Salò, or The 120 Days of Sodom"
Christophe Honoré’s Top10,Leo McCarey,7,The Awful Truth
Christophe Honoré’s Top10,Gus Van Sant,8,My Own Private Idaho
Christophe Honoré’s Top10,Jim Jarmusch,9,Mystery Train
Christophe Honoré’s Top10,Edward Yang,10,Yi Yi
Raúl Castillo’s Top10,John Cassavetes,1,A Woman Under the Influence
Raúl Castillo’s Top10,Alfonso Cuarón,2,Y tu mamá también 
Raúl Castillo’s Top10,Andrew Haigh,3,Weekend
Raúl Castillo’s Top10,Akira Kurosawa,4,Drunken Angel
Raúl Castillo’s Top10,Lynne Ramsay,5,Ratcatcher
Raúl Castillo’s Top10,Spike Lee,6,Do the Right Thing
Raúl Castillo’s Top10,Wong Kar-wai,7,In the Mood for Love
Raúl Castillo’s Top10,George A. Romero,8,Night of the Living Dead
Raúl Castillo’s Top10,Gus Van Sant,9,My Own Private Idaho
Raúl Castillo’s Top10,Luis Buñuel,10,The Discreet Charm of the Bourgeoisie
Karyn Kusama’s Top10,John Cassavetes,1,A Woman Under the Influence
Karyn Kusama’s Top10,Chantal Akerman,1,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles"
Karyn Kusama’s Top10,Roman Polanski,2,Rosemary’s Baby
Karyn Kusama’s Top10,Jack Clayton,2,The Innocents
Karyn Kusama’s Top10,Ingmar Bergman,3,Fanny and Alexander: Television Version
Karyn Kusama’s Top10,Todd Haynes,3,Safe
Karyn Kusama’s Top10,Akira Kurosawa,4,High and Low
Karyn Kusama’s Top10,Brian  De Palma,4,Blow Out
Karyn Kusama’s Top10,Robert Altman,5,Nashville
Karyn Kusama’s Top10,Bob Fosse,5,All That Jazz
Karyn Kusama’s Top10,James L. Brooks,6,Broadcast News
Karyn Kusama’s Top10,Jonathan Demme,6,Something Wild
Karyn Kusama’s Top10,Stanley Kubrick,7,Barry Lyndon
Karyn Kusama’s Top10,John Waters,7,Female Trouble
Karyn Kusama’s Top10,Nicolas Roeg,8,Bad Timing
Karyn Kusama’s Top10,Mike Leigh,8,Naked
Karyn Kusama’s Top10,Edward Yang,9,Yi Yi
Karyn Kusama’s Top10,Shohei Imamura,9,Intentions of Murder
Karyn Kusama’s Top10,Bob Rafelson,10,The King of Marvin Gardens
Karyn Kusama’s Top10,Jane Campion,10,An Angel at My Table
Paweł Pawlikowski’s Top10,Richard Lester,1,A Hard Day’s Night
Paweł Pawlikowski’s Top10,Billy Wilder,2,Some Like It Hot
Paweł Pawlikowski’s Top10,Andrzej Wajda,3,Ashes and Diamonds
Paweł Pawlikowski’s Top10,Terrence Malick,4,Badlands
Paweł Pawlikowski’s Top10,Terrence Malick,4,Days of Heaven
Paweł Pawlikowski’s Top10,Miloš Forman,5,Loves of a Blonde
Paweł Pawlikowski’s Top10,Jean-Luc Godard,6,Vivre sa vie
Paweł Pawlikowski’s Top10,Jean-Luc Godard,6,Pierrot le fou
Paweł Pawlikowski’s Top10,Maurice Pialat,7,À nos amours
Paweł Pawlikowski’s Top10,Andrei Tarkovsky,8,Ivan’s Childhood
Paweł Pawlikowski’s Top10,Federico Fellini,9,La dolce vita
Paweł Pawlikowski’s Top10,Federico Fellini,9,8½
Paweł Pawlikowski’s Top10,Federico Fellini,9,Amarcord
Paweł Pawlikowski’s Top10,David Lynch,10,Mulholland Dr.
​Jon Dieringer’s Top10,Susan Seidelman,1,Smithereens
​Jon Dieringer’s Top10,Felipe Cazals,2,Canoa: A Shameful Memory
​Jon Dieringer’s Top10,Alex Cox,3,Repo Man
​Jon Dieringer’s Top10,Paul Bartel,4,Eating Raoul
​Jon Dieringer’s Top10,David Lynch,5,Eraserhead
​Jon Dieringer’s Top10,Charles Laughton,6,The Night of the Hunter
​Jon Dieringer’s Top10,Víctor Erice,7,El Sur
​Jon Dieringer’s Top10,,8,Lone Wolf and Cub
​Jon Dieringer’s Top10,Larisa Shepitko,9,The Ascent
​Jon Dieringer’s Top10,Rainer Werner Fassbinder,10,Eight Hours Don’t Make a Day
Alice Rohrwacher’s Top10,Luis Buñuel,1,The Exterminating Angel
Alice Rohrwacher’s Top10,Luis Buñuel,1,Viridiana
Alice Rohrwacher’s Top10,Roberto Rossellini,2,Stromboli
Alice Rohrwacher’s Top10,Jean-Luc Godard,3,Breathless
Alice Rohrwacher’s Top10,Pier Paolo Pasolini,4,Arabian Nights
Alice Rohrwacher’s Top10,Aki Kaurismäki,5,Le Havre
Alice Rohrwacher’s Top10,Agnès Varda,6,Vagabond
Alice Rohrwacher’s Top10,John Cassavetes,7,A Woman Under the Influence
Alice Rohrwacher’s Top10,Lucrecia Martel,8,La Ciénaga
Alice Rohrwacher’s Top10,Ermanno Olmi,9,The Tree of Wooden Clogs
Alice Rohrwacher’s Top10,Jane Campion,10,An Angel at My Table
Ali Abbasi’s Top10,Pier Paolo Pasolini,1,"Salò, or The 120 Days of Sodom"
Ali Abbasi’s Top10,David Lean,2,Great Expectations
Ali Abbasi’s Top10,Andrei Tarkovsky,3,Andrei Rublev
Ali Abbasi’s Top10,Alain Resnais,4,Hiroshima mon amour
Ali Abbasi’s Top10,Federico Fellini,5,La strada
Ali Abbasi’s Top10,David Cronenberg,6,Naked Lunch
Ali Abbasi’s Top10,Luis Buñuel,7,Viridiana
Ali Abbasi’s Top10,Luis Buñuel,7,Belle de jour
Ali Abbasi’s Top10,Abbas Kiarostami,8,Close-up
Ali Abbasi’s Top10,David Lynch,9,Mulholland Dr.
Ali Abbasi’s Top10,Sergei Parajanov,10,The Color of Pomegranates
Steven Yeun’s Top10,Yasujiro Ozu,1,Good Morning
Steven Yeun’s Top10,Yasujiro Ozu,1,Tokyo Story
Steven Yeun’s Top10,Hirokazu Kore-eda,2,Still Walking
Steven Yeun’s Top10,Lee Chang-dong,3,Secret Sunshine
Steven Yeun’s Top10,Wong Kar-wai,4,Chungking Express
Steven Yeun’s Top10,Wes Anderson,5,Fantastic Mr. Fox
Steven Yeun’s Top10,Rob Reiner,6,The Princess Bride
Steven Yeun’s Top10,Paul Thomas Anderson,7,Punch-Drunk Love
Steven Yeun’s Top10,David Lynch,8,Mulholland Dr.
Steven Yeun’s Top10,Spike Jonze,8,Being John Malkovich
Steven Yeun’s Top10,Paul Verhoeven,9,RoboCop
Steven Yeun’s Top10,Steve James,10,Hoop Dreams
John Grant’s Top10,Wim Wenders,1,Wings of Desire
John Grant’s Top10,Roman Polanski,2,Rosemary’s Baby
John Grant’s Top10,David Cronenberg,3,Scanners
John Grant’s Top10,Rainer Werner Fassbinder,4,Ali: Fear Eats the Soul
John Grant’s Top10,Rob Reiner,5,This Is Spinal Tap
John Grant’s Top10,Hal Ashby,6,Harold and Maude
John Grant’s Top10,Guillermo del Toro,7,Cronos
John Grant’s Top10,Sydney Pollack,8,Tootsie
John Grant’s Top10,Herk Harvey,9,Carnival of Souls
John Grant’s Top10,Lars von Trier,10,Europa
Hari Nef’s Top10,David Lynch,1,Mulholland Dr.
Hari Nef’s Top10,Lena Dunham,2,Tiny Furniture
Hari Nef’s Top10,Olivier Assayas,3,Clouds of Sils Maria
Hari Nef’s Top10,Andrea Arnold,4,Fish Tank
Hari Nef’s Top10,Eric Rohmer,5,Claire’s Knee
Hari Nef’s Top10,Todd Haynes,6,Safe
Hari Nef’s Top10,David Lynch,7,Twin Peaks: Fire Walk with Me
Hari Nef’s Top10,Rainer Werner Fassbinder,8,The Bitter Tears of Petra von Kant
Hari Nef’s Top10,Nobuhiko Obayashi,9,House
Hari Nef’s Top10,Pier Paolo Pasolini,10,"Salò, or The 120 Days of Sodom"
Jeremiah Zagar’s Top10,Lynne Ramsay,1,Ratcatcher
Jeremiah Zagar’s Top10,Ken Loach,2,Kes
Jeremiah Zagar’s Top10,Guillermo del Toro,3,Pan’s Labyrinth
Jeremiah Zagar’s Top10,Volker Schlöndorff,4,The Tin Drum
Jeremiah Zagar’s Top10,Neil Jordan,5,Mona Lisa
Jeremiah Zagar’s Top10,Terry Gilliam,6,Time Bandits
Jeremiah Zagar’s Top10,Terry Zwigoff,7,Crumb
Jeremiah Zagar’s Top10,Mikhail Kalatozov,8,The Cranes Are Flying
Jeremiah Zagar’s Top10,Ronald Neame,9,Hopscotch
Jeremiah Zagar’s Top10,Alfonso Cuarón,10,Y tu mamá también 
Alan Rudolph’s Top10,Ingmar Bergman,1,Wild Strawberries
Alan Rudolph’s Top10,Federico Fellini,2,La dolce vita
Alan Rudolph’s Top10,Stanley Kubrick,3,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb"
Alan Rudolph’s Top10,Marcel Carné,4,Children of Paradise
Alan Rudolph’s Top10,Luis Buñuel,5,The Discreet Charm of the Bourgeoisie
Alan Rudolph’s Top10,Akira Kurosawa,6,Rashomon
Alan Rudolph’s Top10,Jacques Tati,7,Monsieur Hulot’s Holiday
Alan Rudolph’s Top10,Robert Altman,8,McCabe & Mrs. Miller
Alan Rudolph’s Top10,François Truffaut,9,Day for Night
Alan Rudolph’s Top10,Víctor Erice,10,The Spirit of the Beehive
David and Nathan Zellner’s Top10,Carl Th. Dreyer,1,The Passion of Joan of Arc
David and Nathan Zellner’s Top10,Terry Gilliam,1,Time Bandits
David and Nathan Zellner’s Top10,Martin Rosen,2,Watership Down
David and Nathan Zellner’s Top10,John Lurie,2,Fishing with John
David and Nathan Zellner’s Top10,Paul Verhoeven,3,RoboCop
David and Nathan Zellner’s Top10,Akira Kurosawa,3,Throne of Blood
David and Nathan Zellner’s Top10,Kaneto Shindo,4,Onibaba
David and Nathan Zellner’s Top10,Monte Hellman,4,Two-Lane Blacktop
David and Nathan Zellner’s Top10,Chantal Akerman,5,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles"
David and Nathan Zellner’s Top10,Jack Nicholson,5,"Drive, He Said"
David and Nathan Zellner’s Top10,Mike Leigh,6,Life Is Sweet
David and Nathan Zellner’s Top10,Samuel Fuller,6,Shock Corridor
David and Nathan Zellner’s Top10,Satyajit Ray,7,Pather Panchali
David and Nathan Zellner’s Top10,Robert Altman,7,Nashville
David and Nathan Zellner’s Top10,Les Blank,8,Burden of Dreams
David and Nathan Zellner’s Top10,Bob Fosse,8,All That Jazz
David and Nathan Zellner’s Top10,Pier Paolo Pasolini,9,"Salò, or The 120 Days of Sodom"
David and Nathan Zellner’s Top10,Carroll Ballard,9,The Black Stallion
