Assessment,Weight
Assignment 1,10%
Assignment 2,15%
Assignment 3,15%
Assignment 4,20%
"Perusal Papers (6)",12%
"Reflection Quizzes (6)",12%
Group Presentations (2),10%
In-class attendance and participation,5%
Bonus,1%
