Week,Date,Topics,Reading
1,"Monday, January 7","""Hello World"": Introduction to data analysis and computing",
2,"Monday, January 14",,
3,"Monday, January 21",,
4,"Monday, January 28",,
5,"Monday, February 4",,
6,"Monday, February 11",,
,"Monday, February 18",Reading week,
7,"Monday, February 25",,
8,"Monday, March 4",,
9,"Monday, March 11",,
10,"Monday, March 18",,
11,"Monday, March 25",,
12,"Monday, April 1",,
